type,category,title,link
classical_art,Abstract,Tropical Flowers (1912–13) ,https://artvee.com/dl/tropical-flowers/
classical_art,Abstract,Drei Köpfe (1936) ,https://artvee.com/dl/drei-kopfe/
classical_art,Abstract,The Bar (1920) ,https://artvee.com/dl/the-bar/
classical_art,Abstract,Abstraktes Aquarell I (1913-14) ,https://artvee.com/dl/abstraktes-aquarell-i/
classical_art,Abstract,Looduse rüpes (2000) ,https://artvee.com/dl/looduse-rupes/
classical_art,Abstract,Aviatic Evolution (1934) ,https://artvee.com/dl/aviatic-evolution/
classical_art,Abstract,Nude with Goat in Front of a House (1918) ,https://artvee.com/dl/nude-with-goat-in-front-of-a-house/
classical_art,Abstract,Highwayman (1935–1944) ,https://artvee.com/dl/highwayman/
classical_art,Abstract,Ohne Titel (1925) ,https://artvee.com/dl/ohne-titel-27/
classical_art,Abstract,Nude V (Nude in the shape of the reversed letter C) (1918) ,https://artvee.com/dl/nude-v-nude-in-the-shape-of-the-reversed-letter-c/
classical_art,Abstract,Abstract design based on flowers and leaves (1900) ,https://artvee.com/dl/abstract-design-based-on-flowers-and-leaves/
classical_art,Abstract,Twee rozen (1920) ,https://artvee.com/dl/twee-rozen-2/
classical_art,Abstract,Skyscrapers at night (1910) ,https://artvee.com/dl/skyscrapers-at-night/
classical_art,Abstract,Young Girl and Sheep (1922) ,https://artvee.com/dl/young-girl-and-sheep/
classical_art,Abstract,"Composition with Four Black, One White, and Two Grey Elements (1920) ",https://artvee.com/dl/composition-with-four-black-one-white-and-two-grey-elements/
classical_art,Abstract,Ontwerp voor een ex libris met monogram en leeuwen (1874) ,https://artvee.com/dl/ontwerp-voor-een-ex-libris-met-monogram-en-leeuwen-2/
classical_art,Abstract,Female Figure (1920) ,https://artvee.com/dl/female-figure-4/
classical_art,Abstract,Liggende akt (1919-1924) ,https://artvee.com/dl/liggende-akt/
classical_art,Abstract,"Green, blue and purple (1880) ",https://artvee.com/dl/green-blue-and-purple/
classical_art,Abstract,Mountain Village (1937) ,https://artvee.com/dl/mountain-village/
classical_art,Abstract,Indianisch (1937) ,https://artvee.com/dl/indianisch/
classical_art,Abstract,Floréal; dessins & coloris nouveaux Pl.16 (1925) ,https://artvee.com/dl/floreal-dessins-coloris-nouveaux-pl-16/
classical_art,Abstract,Count Muffat Discovers Nana with the Marquis de Chouard (1915) ,https://artvee.com/dl/count-muffat-discovers-nana-with-the-marquis-de-chouard/
classical_art,Abstract,Don Giovanni (1930) ,https://artvee.com/dl/don-giovanni/
classical_art,Abstract,Ghosts (1932) ,https://artvee.com/dl/ghosts/
classical_art,Abstract,Dödens husarer (1919) ,https://artvee.com/dl/dodens-husarer/
classical_art,Abstract,"nuclear I, CH (1945) ",https://artvee.com/dl/nuclear-i-ch/
classical_art,Abstract,Zwei Mädchen auf der Waldwiese (1910) ,https://artvee.com/dl/zwei-madchen-auf-der-waldwiese/
classical_art,Abstract,Frauen in Landschaft (1925-1930) ,https://artvee.com/dl/frauen-in-landschaft/
classical_art,Abstract,Anatomische studie van de zij- en armspieren van een man (1906) ,https://artvee.com/dl/anatomische-studie-van-de-zij-en-armspieren-van-een-man/
classical_art,Abstract,Zeilboten op open water (1890) ,https://artvee.com/dl/zeilboten-op-open-water/
classical_art,Abstract,Peinture (1917-1918) ,https://artvee.com/dl/peinture/
classical_art,Abstract,Schattenriß (Silhouette) (1912–19) ,https://artvee.com/dl/schattenris-silhouette/
classical_art,Abstract,Landschaft (1927) ,https://artvee.com/dl/landschaft-12/
classical_art,Abstract,Idolen (spoken) (from 1928 until 1929) ,https://artvee.com/dl/idolen-spoken/
classical_art,Abstract,Untitled (1916) ,https://artvee.com/dl/untitled-101/
